Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Mag_E
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.00173492023801973,0.001,0.2662180147626292
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0018049601190098649,0.001,0.2513020695703438
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.001687777387381447,0.001,0.26659364747791225
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.001875,0.001,0.2523005078356463
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.001757817268371582,0.001,0.24994337312258846
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.001640634536743164,0.001,0.28363879400545006
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.00018925118969509636,0.001,0.2730883284337716
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0002815572093605241,0.001,0.26211963303776414
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.00021181786321913023,0.001,0.2625821681567031
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0003738632290259518,0.001,0.27322542244447107
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.00030412388288455794,0.001,0.2640413413138592
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.00023438453674316407,0.001,0.26850263098730637
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0003738632290259518,0.001,0.27322542244447107
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0004874706378449397,0.001,0.2529219436364477
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.00042131615125613997,0.001,0.2631588178824341
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0006010780466639276,0.001,0.2652668041357633
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0005349235600751279,0.001,0.25823232338057006
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.00046876907348632814,0.001,0.263964023899719
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.0011719036102294921,0.001,0.25688397513239397
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.001113426658980426,0.001,0.25866997052187723
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0012267550806951545,0.001,0.2522444028444296
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.00105494970773136,0.001,0.27517978317112995
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0011682781294460884,0.001,0.2545763487158716
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0012816065511608167,0.001,0.26349184799508774
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,0.0,0.0025606352463364603,0.001,0.2484107258217902
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.002487264353297731,0.001,0.2349042062570287
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0026004265570042763,0.001,0.24161738080502965
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.0024138934602590013,0.001,0.2489810431309437
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.002527055663965547,0.001,0.23366531781883
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.002640217867672092,0.001,0.25527855739835925
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.00173492023801973,0.001,0.2662180147626292
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.001826864528531298,0.001,0.24297014691497992
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,2.5e-05,0.0018049601190098649,0.001,0.2513020695703438
500GHz,0,0.0,90.0,1.71197190776978e-10,6.636046824471356e-10,5e-05,0.001918808819042866,0.001,0.2502136683969575
